Date,Name,Marcap
1996-01-03,한국전력공사,19396178953900.0
1996-01-03,삼성전자,9619442100000.0
1996-01-03,포항종합제철,4760821767000.0
1996-01-03,한국이동통신,3536701381000.0
1996-01-03,대우중공업,2965637210400.0
1996-01-03,엘지전자,2360260815000.0
1996-01-03,데이콤,1863324000000.0
1996-01-03,신한은행,1786400000000.0
1996-01-03,현대건설,1747545925600.0
1996-01-03,삼성전자(1우),1649559643000.0
1996-01-03,유공,1610752442000.0
1996-01-03,삼성전관,1526626551500.0
1996-01-03,조흥은행,1431720000000.0
1996-01-03,대한항공,1405365248000.0
1996-01-03,한국외환은행,1402500000000.0
1996-01-04,한국전력공사,18834874739800.0
1996-01-04,삼성전자,9145244250000.0
1996-01-04,포항종합제철,4479116337000.0
1996-01-04,한국이동통신,3536701381000.0
1996-01-04,대우중공업,2822714935200.0
1996-01-04,엘지전자,2274433149000.0
1996-01-04,데이콤,1850202000000.0
1996-01-04,신한은행,1724800000000.0
1996-01-04,현대건설,1723138859600.0
1996-01-04,삼성전자(1우),1551876222800.0
1996-01-04,유공,1531133500000.0
1996-01-04,삼성전관,1508797336300.0
1996-01-04,대한항공,1380269440000.0
1996-01-04,조흥은행,1353000000000.0
1996-01-04,기아자동차,1326359185800.0
1996-01-05,한국전력공사,19021976144500.0
1996-01-05,삼성전자,9280729350000.0
1996-01-05,포항종합제철,4507286880000.0
1996-01-05,한국이동통신,3490844637000.0
1996-01-05,대우중공업,2826287992080.0
1996-01-05,엘지전자,2265850382400.0
1996-01-05,데이콤,1837080000000.0
1996-01-05,신한은행,1749440000000.0
1996-01-05,현대건설,1737783099200.0
1996-01-05,삼성전자(1우),1540817722400.0
1996-01-05,삼성전관,1508797336300.0
1996-01-05,유공,1488261762000.0
1996-01-05,조흥은행,1395640000000.0
1996-01-05,대한항공,1375250278400.0
1996-01-05,한국외환은행,1344750000000.0
1996-01-06,한국전력공사,18897241874700.0
1996-01-06,삼성전자,9043630425000.0
1996-01-06,포항종합제철,4554237785000.0
1996-01-06,한국이동통신,3427791614000.0
1996-01-06,대우중공업,2837007162720.0
1996-01-06,엘지전자,2265850382400.0
1996-01-06,데이콤,1810836000000.0
1996-01-06,신한은행,1774080000000.0
1996-01-06,현대건설,1742664512400.0
1996-01-06,삼성전관,1508797336300.0
1996-01-06,유공,1500510830000.0
1996-01-06,삼성전자(1우),1492897554000.0
1996-01-06,조흥은행,1410400000000.0
1996-01-06,대한항공,1395326924800.0
1996-01-06,한국외환은행,1369500000000.0
1996-01-08,한국전력공사,18959609009600.0
1996-01-08,삼성전자,9280729350000.0
1996-01-08,포항종합제철,4713870862000.0
1996-01-08,한국이동통신,3439255800000.0
1996-01-08,대우중공업,2908468300320.0
1996-01-08,엘지전자,2265850382400.0
1996-01-08,신한은행,1811040000000.0
1996-01-08,데이콤,1810836000000.0
1996-01-08,현대건설,1732901686000.0
1996-01-08,삼성전자(1우),1537131555600.0
1996-01-08,삼성전관,1495425424900.0
1996-01-08,유공,1488261762000.0
1996-01-08,조흥은행,1435000000000.0
1996-01-08,한국외환은행,1386000000000.0
1996-01-08,대한항공,1375250278400.0
1996-01-09,한국전력공사,19021976144500.0
1996-01-09,삼성전자,9551699550000.0
1996-01-09,포항종합제철,4854723577000.0
1996-01-09,한국이동통신,3553897660000.0
1996-01-09,대우중공업,2937052755360.0
1996-01-09,엘지전자,2283015915600.0
1996-01-09,신한은행,1860320000000.0
1996-01-09,데이콤,1830519000000.0
1996-01-09,현대건설,1757308752000.0
1996-01-09,삼성전자(1우),1583208640600.0
1996-01-09,유공,1512759898000.0
1996-01-09,삼성전관,1511025988200.0
1996-01-09,조흥은행,1467800000000.0
1996-01-09,한국외환은행,1402500000000.0
1996-01-09,현대자동차,1376490384500.0
1996-01-10,한국전력공사,19021976144500.0
1996-01-10,삼성전자,9551699550000.0
1996-01-10,포항종합제철,5080087921000.0
1996-01-10,한국이동통신,3582558125000.0
1996-01-10,대우중공업,2929906641600.0
1996-01-10,엘지전자,2257267615800.0
1996-01-10,신한은행,1884960000000.0
1996-01-10,데이콤,1830519000000.0
1996-01-10,현대건설,1786597231200.0
1996-01-10,삼성전자(1우),1572150140200.0
1996-01-10,삼성전관,1515483292000.0
1996-01-10,유공,1506635364000.0
1996-01-10,조흥은행,1500600000000.0
1996-01-10,한국외환은행,1419000000000.0
1996-01-10,현대자동차,1392542750500.0
1996-01-11,한국전력공사,18772507604900.0
1996-01-11,삼성전자,9348471900000.0
1996-01-11,포항종합제철,5070697740000.0
1996-01-11,한국이동통신,3571093939000.0
1996-01-11,대우중공업,2929906641600.0
1996-01-11,엘지전자,2257267615800.0
1996-01-11,신한은행,1909600000000.0
1996-01-11,데이콤,1830519000000.0
1996-01-11,현대건설,1801241470800.0
1996-01-11,유공,1549507102000.0
1996-01-11,삼성전자(1우),1535288472200.0
1996-01-11,삼성전관,1526626551500.0
1996-01-11,조흥은행,1517000000000.0
1996-01-11,한국외환은행,1491600000000.0
1996-01-11,한일은행,1411000000000.0
1996-01-12,한국전력공사,18585406200200.0
1996-01-12,삼성전자,9111372975000.0
1996-01-12,포항종합제철,5070697740000.0
1996-01-12,한국이동통신,3530969288000.0
1996-01-12,대우중공업,2908468300320.0
1996-01-12,엘지전자,2257267615800.0
1996-01-12,신한은행,1897280000000.0
1996-01-12,데이콤,1843641000000.0
1996-01-12,현대건설,1801241470800.0
1996-01-12,삼성전관,1548913070500.0
1996-01-12,유공,1518884432000.0
1996-01-12,조흥은행,1517000000000.0
1996-01-12,한국외환은행,1501500000000.0
1996-01-12,삼성전자(1우),1487368303800.0
1996-01-12,한일은행,1397720000000.0
1996-01-13,한국전력공사,18273570525700.0
1996-01-13,삼성전자,9111372975000.0
1996-01-13,포항종합제철,5023746835000.0
1996-01-13,한국이동통신,3467916265000.0
1996-01-13,대우중공업,2865591617760.0
1996-01-13,엘지전자,2240102082600.0
1996-01-13,신한은행,1884960000000.0
1996-01-13,데이콤,1823958000000.0
1996-01-13,현대건설,1791478644400.0
1996-01-13,삼성전관,1560056330000.0
1996-01-13,유공,1531133500000.0
1996-01-13,조흥은행,1508800000000.0
1996-01-13,한국외환은행,1489950000000.0
1996-01-13,삼성전자(1우),1489211387200.0
1996-01-13,한일은행,1391080000000.0
1996-01-15,한국전력공사,17961734851200.0
1996-01-15,삼성전자,9077501700000.0
1996-01-15,포항종합제철,5004966473000.0
1996-01-15,한국이동통신,3450719986000.0
1996-01-15,대우중공업,2822714935200.0
1996-01-15,엘지전자,2188605483000.0
1996-01-15,신한은행,1860320000000.0
1996-01-15,데이콤,1791153000000.0
1996-01-15,현대건설,1776834404800.0
1996-01-15,삼성전관,1537769811000.0
1996-01-15,유공,1500510830000.0
1996-01-15,한국외환은행,1485000000000.0
1996-01-15,조흥은행,1477640000000.0
1996-01-15,삼성전자(1우),1437605052000.0
1996-01-15,한일은행,1361200000000.0
1996-01-16,한국전력공사,18086469121000.0
1996-01-16,삼성전자,9111372975000.0
1996-01-16,포항종합제철,4958015568000.0
1996-01-16,한국이동통신,3456452079000.0
1996-01-16,대우중공업,2929906641600.0
1996-01-16,엘지전자,2188605483000.0
1996-01-16,신한은행,1884960000000.0
1996-01-16,데이콤,1784592000000.0
1996-01-16,현대건설,1771952991600.0
1996-01-16,삼성전관,1537769811000.0
1996-01-16,한국외환은행,1509750000000.0
1996-01-16,유공,1500510830000.0
1996-01-16,조흥은행,1476000000000.0
1996-01-16,삼성전자(1우),1446820469000.0
1996-01-16,한일은행,1382780000000.0
1996-01-17,한국전력공사,18024101986100.0
1996-01-17,삼성전자,8874274050000.0
1996-01-17,포항종합제철,4929845025000.0
1996-01-17,한국이동통신,3353274405000.0
